SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
4.0111,06BR091LAJ-P4 (b),31.67,,49.45,,,,0.54,,1.56,43.29,,,,,,,,,,,,,,,,,,,,,,,,
4.0112,06BR091LAJ-P5 (b),15.11,,43.73,,,,0.16,,2.89,25.39,,,,,,,,,,,,,,,,,,,,,,,,
4.0113,06BR091LAJ-P5 (n),15.22,,40.61,,,,1.19,,2.67,24.76,,,,,,,,,,,,,,,,,,,,,,,,
4.0114,06BR091LAJ-P6(B),13.85,,43.90,,,,0.23,,3.17,24.17,,,,,,,,,,,,,,,,,,,,,,,,
4.0115,06BR091LAJ-P6 (b),29.49,,41.56,,,,0.82,,1.41,39.26,,,,,,,,,,,,,,,,,,,,,,,,
4.0116,06BR091LAJ-P6 (n),23.83,,54.45,,,,0.15,,2.28,36.63,,,,,,,,,,,,,,,,,,,,,,,,
4.0117,06BR091LAJ-P7 (n),55.00,,221.13,,,,11.02,,4.02,106.96,,,,,,,,,,,,,,,,,,,,,,,,
4.0118,06BR092LAJ-P1 (b),10.52,,53.02,,,,0.17,,5.04,22.98,,,,,,,,,,,,,,,,,,,,,,,,
4.0119,06BR092LAJ-P1 (m),5.62,,34.97,,,,0.11,,6.22,13.84,,,,,,,,,,,,,,,,,,,,,,,,
4.012,06BR092LAJ-P2(B),7.47,,26.29,,,,0.36,,3.52,13.65,,,,,,,,,,,,,,,,,,,,,,,,
4.0121,06BR092LAJ-P2 (b),9.00,,38.73,,,,0.48,,4.31,18.10,,,,,,,,,,,,,,,,,,,,,,,,
4.0122,06BR092LAJ-P4(B),7.89,,24.32,,,,0.15,,3.08,13.61,,,,,,,,,,,,,,,,,,,,,,,,
4.0123,06BR092LAJ-P4 (b),11.57,,43.45,,,,0.22,,3.76,21.78,,,,,,,,,,,,,,,,,,,,,,,,
4.0124,06BR092LAJ-P4(M),6.82,,29.29,,,,0.16,,4.29,13.70,,,,,,,,,,,,,,,,,,,,,,,,
4.0125,06BR092LAJ-P4 (m),7.50,,29.27,,,,0.40,,3.90,14.38,,,,,,,,,,,,,,,,,,,,,,,,
4.0126,06BR092LAJ-P5(B),7.06,,63.99,,,,0.53,,9.06,22.10,,,,,,,,,,,,,,,,,,,,,,,,
4.0127,06BR092LAJ-P5 (b),9.22,,50.83,,,,0.43,,5.52,21.16,,,,,,,,,,,,,,,,,,,,,,,,
4.0128,06BR092LAJ-P5(N),7.20,,36.78,,,,1.93,,5.11,15.84,,,,,,,,,,,,,,,,,,,,,,,,
4.0129,06BR092LAJ-P5 (n),8.36,,38.57,,,,0.57,,4.62,17.42,,,,,,,,,,,,,,,,,,,,,,,,
4.013,06BR092LAJ-P6(B),8.73,,32.89,,,,0.30,,3.77,16.46,,,,,,,,,,,,,,,,,,,,,,,,
4.0131,06BR092LAJ-P6 (b),14.69,,44.24,,,,0.66,,3.01,25.08,,,,,,,,,,,,,,,,,,,,,,,,
4.0132,06BR088-OLHO,18.46,,0.19,,,,0.30,,0.01,18.50,,,,,,,,,,,,,,,,,,,,,,,,
4.0133,06BR008-BOM1-02,4.03,,130.94,,,,1.74,,32.52,34.80,,,,,,,,,,,,,,,,,,,,,,,,
4.0134,06BR008-BOM1-03,2.73,,57.52,,,,1.62,,21.04,16.25,,,,,,,,,,,,,,,,,,,,,,,,
4.0135,06BR008-BOM1-04,5.14,,141.47,,,,2.35,,27.52,38.38,,,,,,,,,,,,,,,,,,,,,,,,
4.0136,06BR008-BOM1-05,6.27,,191.44,,,,3.63,,30.52,51.26,,,,,,,,,,,,,,,,,,,,,,,,
4.0137,06BR007-BOM3-01,7.24,,32.07,,,,0.82,,4.43,14.78,,,,,,,,,,,,,,,,,,,,,,,,
4.0138,06BR007BOM3-02,3.66,,29.53,,,,1.16,,8.07,10.60,,,,,,,,,,,,,,,,,,,,,,,,
4.0139,06BR007BOM3-03,5.38,,28.03,,,,0.81,,5.21,11.97,,,,,,,,,,,,,,,,,,,,,,,,
4.014,06BR007BOM3-04,5.95,,48.28,,,,0.88,,8.11,17.30,,,,,,,,,,,,,,,,,,,,,,,,
4.0141,06BR007BOM3-05,4.16,,25.36,,,,0.74,,6.10,10.12,,,,,,,,,,,,,,,,,,,,,,,,
4.0142,06BR125-CUI1-01,9.46,,3.70,,,,0.78,,0.39,10.33,,,,,,,,,,,,,,,,,,,,,,,,
4.0143,06BR125-CUI1-02,6.92,,2.72,,,,0.51,,0.39,7.56,,,,,,,,,,,,,,,,,,,,,,,,
4.0144,06BR125-CUI1-03,12.26,,2.17,,,,0.90,,0.18,12.77,,,,,,,,,,,,,,,,,,,,,,,,
4.0145,06BR125-CUI1-04,16.13,,3.12,,,,0.64,,0.19,16.87,,,,,,,,,,,,,,,,,,,,,,,,
4.0146,06BR125-CUI1-05,21.06,,5.60,,,,0.96,,0.27,22.38,,,,,,,,,,,,,,,,,,,,,,,,
4.0147,06BR125-CUI2-01,27.02,,3.05,,,,0.83,,0.11,27.74,,,,,,,,,,,,,,,,,,,,,,,,
4.0148,06BR125-CUI2-03,22.55,,4.68,,,,1.05,,0.21,23.65,,,,,,,,,,,,,,,,,,,,,,,,
4.0149,06BR125-CUI2-05,17.46,,5.53,,,,0.75,,0.32,18.76,,,,,,,,,,,,,,,,,,,,,,,,
4.015,06BR002-ARA1-01,2.18,,52.21,,,,0.31,,23.99,14.45,,,,,,,,,,,,,,,,,,,,,,,,
4.0151,06BR002-ARA1-01,2.62,,73.05,,,,0.32,,27.84,19.79,,,,,,,,,,,,,,,,,,,,,,,,
4.0152,06BR002-ARA1-01,2.18,,65.81,,,,0.35,,30.17,17.65,,,,,,,,,,,,,,,,,,,,,,,,
4.0153,06BR002-ARA1-02,1.71,,49.77,,,,0.25,,29.19,13.40,,,,,,,,,,,,,,,,,,,,,,,,
4.0154,06BR002-ARA1-02,1.56,,59.85,,,,0.29,,38.44,15.62,,,,,,,,,,,,,,,,,,,,,,,,
4.0155,06BR002-ARA1-02,2.26,,73.69,,,,0.32,,32.54,19.58,,,,,,,,,,,,,,,,,,,,,,,,
4.0156,06BR002-ARA2-01,11.12,,9.27,,,,0.82,,0.83,13.30,,,,,,,,,,,,,,,,,,,,,,,,
4.0157,06BR002-ARA2-01,2.86,,98.15,,,,0.56,,34.30,25.93,,,,,,,,,,,,,,,,,,,,,,,,
4.0158,06BR002-ARA2-01,1.77,,59.86,,,,0.27,,33.82,15.84,,,,,,,,,,,,,,,,,,,,,,,,
4.0159,06BR002-ARA2-02,1.90,,69.27,,,,0.37,,36.53,18.18,,,,,,,,,,,,,,,,,,,,,,,,
4.016,06BR002-ARA2-02,2.20,,69.59,,,,0.33,,31.69,18.55,,,,,,,,,,,,,,,,,,,,,,,,
4.0161,06BR002-ARA2-03,4.01,,74.61,,,,0.35,,18.61,21.54,,,,,,,,,,,,,,,,,,,,,,,,
4.0162,06BR002-ARA2-03,3.48,,68.71,,,,0.35,,19.77,19.62,,,,,,,,,,,,,,,,,,,,,,,,
4.0163,06BR002-ARA2-03,3.94,,54.24,,,,0.34,,13.76,16.69,,,,,,,,,,,,,,,,,,,,,,,,
4.0164,06BR002-ARA2-04,2.23,,76.38,,,,0.44,,34.27,20.18,,,,,,,,,,,,,,,,,,,,,,,,
4.0165,06BR002-ARA2-04,2.68,,83.70,,,,0.35,,31.20,22.35,,,,,,,,,,,,,,,,,,,,,,,,
4.0166,06BR002-ARA2-04,2.35,,74.57,,,,0.31,,31.70,19.88,,,,,,,,,,,,,,,,,,,,,,,,
4.0167,CAR0403 - c(b) - 1,12.06,,8.88,,,,0.77,,0.74,14.15,,,,,,,,,,,,,,,,,,,,,,,,
4.0168,CAR0403 - c(b) - 2,2.77,,11.94,,,,0.61,,4.30,5.58,,,,,,,,,,,,,,,,,,,,,,,,
4.0169,CAR0403 - c(b) - 3,9.97,,10.41,,,,0.63,,1.04,12.41,,,,,,,,,,,,,,,,,,,,,,,,
4.017,06BR036BRE-1,121.79,,1430.78,,,,22.29,,11.75,458.02,,,,,,,,,,,,,,,,,,,,,,,,
4.0171,06BR036BRE-2,149.78,,1311.93,,,,20.80,,8.76,458.08,,,,,,,,,,,,,,,,,,,,,,,,
4.0172,06BR036BRE-03,5.29,,72.09,,,,0.97,,13.63,22.23,,,,,,,,,,,,,,,,,,,,,,,,
4.0173,06BR113MAT-3,62.51,,350.53,,,,3.71,,5.61,144.89,,,,,,,,,,,,,,,,,,,,,,,,
4.0174,06BR113MAT-4,62.15,,106.25,,,,4.63,,1.71,87.12,,,,,,,,,,,,,,,,,,,,,,,,
4.0175,06BR038IMA-1,50.67,,293.30,,,,2.27,,5.79,119.59,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0001,Ax-2x,1.40,,4.20,,,,0.01,,3.00,2.39,,,,,,,,,,,,,,,,,,,,,,,,
5.0002,Ax-2y,1.20,,4.40,,,,0.01,,3.67,2.23,,,,,,,,,,,,,,,,,,,,,,,,
5.0003,AX-2-D,1.30,,6.90,,,,0.02,,5.31,2.92,,,,,,,,,,,,,,,,,,,,,,,,
5.0004,AX-2-E,1.70,,5.60,,,,0.02,,3.29,3.02,,,,,,,,,,,,,,,,,,,,,,,,
5.0005,Ax-2,3.50,,32.80,,,,0.01,,9.37,11.21,,,,,,,,,,,,,,,,,,,,,,,,
5.0006,AX-2-F,19.50,,111.50,,,,0.06,,5.72,45.70,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0001,PR0916 chao_2,18.28,0.30,27.47,0.47,4.49,,0.07,,1.50,24.73,,,,,,,,,,,,,,,,,,,,,,,,
6.0002,PR0916 chao_2,4.14,0.12,22.30,0.38,9.73,,0.04,,5.38,9.38,,,,,,,,,,,,,,,,,,,,,,,,
6.0003,PR0917,5.89,0.11,156.96,1.18,0.99,,0.01,,26.63,42.78,,,,,,,,,,,,,,,,,,,,,,,,
6.0004,PR0917,5.57,0.08,394.22,1.38,1.24,,0.01,,70.78,98.21,,,,,,,,,,,,,,,,,,,,,,,,
6.0005,PR0919,3.02,0.07,63.41,0.63,0.79,,0.01,,20.96,17.93,,,,,,,,,,,,,,,,,,,,,,,,
6.0006,PR0919,4.38,0.06,42.24,0.39,0.68,,0.01,,9.65,14.30,,,,,,,,,,,,,,,,,,,,,,,,
6.0007,PR0920_1 humico,6.24,0.12,121.87,1.05,0.54,,0.12,,19.55,34.87,,,,,,,,,,,,,,,,,,,,,,,,
6.0008,PR0920_1 humico,6.34,0.12,70.50,0.75,0.64,,0.21,,11.12,22.90,,,,,,,,,,,,,,,,,,,,,,,,
6.0009,PR0920_2 humico,3.16,0.08,15.47,0.25,1.39,,0.11,,4.90,6.80,,,,,,,,,,,,,,,,,,,,,,,,
6.001,PR0920_2 humico,0.88,0.03,22.35,0.26,0.11,,0.01,,25.47,6.13,,,,,,,,,,,,,,,,,,,,,,,,
6.0011,PR0908.2,4.24,0.09,14.23,0.23,6.54,,4.78,,3.36,7.58,,,,,,,,,,,,,,,,,,,,,,,,
6.0012,PR0908.2,10.34,0.15,6.60,0.14,4.19,,0.03,,0.64,11.90,,,,,,,,,,,,,,,,,,,,,,,,
6.0013,PR0908.2_2_1,2.99,0.05,5.96,0.10,5.88,,0.01,,1.99,4.39,,,,,,,,,,,,,,,,,,,,,,,,
6.0014,PR0908.2_2_2,3.08,0.07,5.68,0.12,5.96,,0.21,,1.84,4.42,,,,,,,,,,,,,,,,,,,,,,,,
6.0015,PR0930E_1,27.24,0.18,0.78,0.06,6.59,,0.24,,0.03,27.42,,,,,,,,,,,,,,,,,,,,,,,,
6.0016,PR0930E_2,4.18,0.08,8.62,0.15,9.53,,0.08,,2.06,6.21,,,,,,,,,,,,,,,,,,,,,,,,
6.0017,PR0721G_1,1.66,0.03,0.43,0.02,7.00,,0.05,,0.26,1.76,,,,,,,,,,,,,,,,,,,,,,,,
6.0018,PR0721G_2,3.36,0.05,0.20,0.02,8.03,,0.02,,0.06,3.41,,,,,,,,,,,,,,,,,,,,,,,,
6.0019,PR0721G_3,2.26,0.03,0.07,0.01,4.28,,0.02,,0.03,2.28,,,,,,,,,,,,,,,,,,,,,,,,
6.002,PR0721B1_1,4.11,0.10,0.49,0.06,6.09,,0.01,,0.12,4.23,,,,,,,,,,,,,,,,,,,,,,,,
6.0021,PR0721B1_2,4.00,0.07,0.24,0.03,6.31,,0.01,,0.06,4.06,,,,,,,,,,,,,,,,,,,,,,,,
6.0022,PR0721B1_3,3.59,0.09,0.50,0.07,5.02,,0.01,,0.14,3.71,,,,,,,,,,,,,,,,,,,,,,,,
6.0023,PR0721E_1,3.11,0.05,0.10,0.02,4.20,,0.03,,0.03,3.14,,,,,,,,,,,,,,,,,,,,,,,,
6.0024,PR0721E_2,2.82,0.06,0.21,0.03,2.94,,0.02,,0.07,2.87,,,,,,,,,,,,,,,,,,,,,,,,
6.0025,PR0721E_3,2.78,0.06,0.22,0.03,3.08,,0.04,,0.08,2.83,,,,,,,,,,,,,,,,,,,,,,,,
6.0026,PR0721C1B_1,2.47,0.04,0.16,0.02,2.71,,0.01,,0.07,2.51,,,,,,,,,,,,,,,,,,,,,,,,
6.0027,PR0721C1B_2,1.17,0.03,0.16,0.02,3.60,,0.00,,0.13,1.21,,,,,,,,,,,,,,,,,,,,,,,,
6.0028,PR0721C1B_3,2.81,0.05,0.18,0.02,1.41,,0.01,,0.06,2.85,,,,,,,,,,,,,,,,,,,,,,,,
6.0029,PR0721BD_1,3.13,0.07,0.30,0.04,2.11,,0.01,,0.09,3.20,,,,,,,,,,,,,,,,,,,,,,,,
6.003,PR0721BD_2,2.73,0.05,0.19,0.02,1.67,,0.01,,0.07,2.78,,,,,,,,,,,,,,,,,,,,,,,,
6.0031,PR0721BD_3,2.25,0.04,0.18,0.02,1.57,,0.01,,0.08,2.29,,,,,,,,,,,,,,,,,,,,,,,,
6.0032,PR0721B1B_1,0.65,0.02,0.12,0.01,1.26,,0.00,,0.19,0.68,,,,,,,,,,,,,,,,,,,,,,,,
6.0033,PR0721B1B_2,0.71,0.02,0.11,0.01,2.00,,0.00,,0.15,0.74,,,,,,,,,,,,,,,,,,,,,,,,
6.0034,PR0721B1B_3,0.93,0.02,0.21,0.02,2.01,,0.00,,0.22,0.98,,,,,,,,,,,,,,,,,,,,,,,,
6.0035,PR0721B2A_1,1.31,0.04,0.28,0.04,8.82,,0.01,,0.22,1.38,,,,,,,,,,,,,,,,,,,,,,,,
6.0036,PR0721B2A_2,1.17,0.03,0.12,0.02,10.33,,0.00,,0.10,1.20,,,,,,,,,,,,,,,,,,,,,,,,
6.0037,PR0721B2A_3,0.99,0.03,0.36,0.03,8.32,,0.01,,0.37,1.07,,,,,,,,,,,,,,,,,,,,,,,,
6.0038,PR0721C1A_1,2.22,0.03,0.14,0.01,1.61,,0.01,,0.06,2.25,,,,,,,,,,,,,,,,,,,,,,,,
6.0039,PR0721B2A_1,1.27,0.03,0.14,0.02,10.33,,0.01,,0.11,1.30,,,,,,,,,,,,,,,,,,,,,,,,
6.004,PR0721C1A_3,2.04,0.03,0.15,0.01,2.18,,0.01,,0.07,2.07,,,,,,,,,,,,,,,,,,,,,,,,
6.0041,PR0721C2B1_1,3.49,0.04,0.11,0.01,6.13,,0.12,,0.03,3.52,,,,,,,,,,,,,,,,,,,,,,,,
6.0042,PR0721C2B1_2,3.30,0.04,0.13,0.01,5.96,,0.11,,0.04,3.33,,,,,,,,,,,,,,,,,,,,,,,,
6.0043,PR0721C2B1_3,3.38,0.03,0.10,0.01,5.98,,0.12,,0.03,3.41,,,,,,,,,,,,,,,,,,,,,,,,
6.0044,PR0721C5E_1,3.45,0.04,0.35,0.02,3.31,,0.01,,0.10,3.54,,,,,,,,,,,,,,,,,,,,,,,,
6.0045,PR0721C5E_2,3.56,0.04,0.42,0.02,4.27,,0.02,,0.12,3.66,,,,,,,,,,,,,,,,,,,,,,,,
6.0046,PR0721C5E_3,3.50,0.07,0.47,0.04,2.77,,0.01,,0.13,3.61,,,,,,,,,,,,,,,,,,,,,,,,
6.0047,PR0721H1_1,4.62,0.04,0.07,0.01,7.14,,0.06,,0.02,4.64,,,,,,,,,,,,,,,,,,,,,,,,
6.0048,PR0721H1_2,3.13,0.03,0.16,0.01,2.71,,0.06,,0.05,3.16,,,,,,,,,,,,,,,,,,,,,,,,
6.0049,PR0721H1_3,2.70,0.03,0.10,0.01,3.05,,0.04,,0.04,2.72,,,,,,,,,,,,,,,,,,,,,,,,
6.005,PR0721H2_1,0.48,0.02,0.20,0.03,3.13,,0.00,,0.41,0.52,,,,,,,,,,,,,,,,,,,,,,,,
6.0051,PR0721H2_2,0.53,0.02,0.32,0.03,2.63,,0.00,,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,
6.0052,PR0721H2_3,0.71,0.02,0.28,0.03,4.85,,0.00,,0.40,0.78,,,,,,,,,,,,,,,,,,,,,,,,
6.0053,PR0721B2A_2,2.54,0.05,0.91,0.04,1.88,,0.01,,0.36,2.76,,,,,,,,,,,,,,,,,,,,,,,,
6.0054,PR0721B2A_3,2.81,0.05,0.18,0.02,7.67,,0.01,,0.06,2.86,,,,,,,,,,,,,,,,,,,,,,,,
6.0055,PR0721F1_1,2.91,0.05,0.19,0.02,19.06,,0.01,,0.07,2.96,,,,,,,,,,,,,,,,,,,,,,,,
6.0056,PR0721F1_2,2.61,0.07,0.28,0.05,15.41,,0.01,,0.11,2.68,,,,,,,,,,,,,,,,,,,,,,,,
6.0057,PR0721F1_3,3.91,0.05,0.19,0.02,6.05,,0.01,,0.05,3.95,,,,,,,,,,,,,,,,,,,,,,,,
6.0058,PR0721D_1,3.03,0.52,25.70,3.72,6.64,,0.05,,8.50,9.06,,,,,,,,,,,,,,,,,,,,,,,,
6.0059,PR0721D_2,3.48,0.05,0.13,0.02,4.68,,0.01,,0.04,3.51,,,,,,,,,,,,,,,,,,,,,,,,
6.006,PR0721D_3,2.98,0.05,0.12,0.02,5.13,,0.01,,0.04,3.01,,,,,,,,,,,,,,,,,,,,,,,,
6.0061,PR0721C5B_1,3.54,0.06,0.27,0.03,4.81,,0.01,,0.08,3.60,,,,,,,,,,,,,,,,,,,,,,,,
6.0062,PR0721C5B_2,3.80,0.06,0.67,0.03,7.24,,0.02,,0.18,3.96,,,,,,,,,,,,,,,,,,,,,,,,
6.0063,PR0721C5B_3,4.17,0.05,0.49,0.02,6.06,,0.02,,0.12,4.29,,,,,,,,,,,,,,,,,,,,,,,,
6.0064,PR0721_1_1,3.44,0.07,0.22,0.03,4.05,,0.04,,0.06,3.49,,,,,,,,,,,,,,,,,,,,,,,,
6.0065,PR0721_1_2,2.28,0.05,0.18,0.03,9.95,,0.02,,0.08,2.32,,,,,,,,,,,,,,,,,,,,,,,,
6.0066,PR0721_1_3,2.92,0.06,0.16,0.03,7.40,,0.02,,0.05,2.95,,,,,,,,,,,,,,,,,,,,,,,,
6.0067,PR0721_3_1,2.60,0.06,0.25,0.03,2.26,,0.02,,0.10,2.66,,,,,,,,,,,,,,,,,,,,,,,,
6.0068,PR0721_3_2,3.84,0.05,0.13,0.02,3.55,,0.05,,0.03,3.87,,,,,,,,,,,,,,,,,,,,,,,,
6.0069,PR0721_3_3,2.78,0.06,0.25,0.03,2.71,,0.03,,0.09,2.84,,,,,,,,,,,,,,,,,,,,,,,,
6.007,PR0721_4_1,3.11,0.05,0.12,0.02,4.42,,0.03,,0.04,3.14,,,,,,,,,,,,,,,,,,,,,,,,
6.0071,PR0721_4_2,3.90,0.05,0.12,0.02,3.47,,0.05,,0.03,3.93,,,,,,,,,,,,,,,,,,,,,,,,
6.0072,PR0721_4_3,3.19,0.07,0.22,0.03,3.64,,0.03,,0.07,3.24,,,,,,,,,,,,,,,,,,,,,,,,
6.0073,PR0721_5_1,2.94,0.06,0.21,0.03,3.28,,0.06,,0.07,2.99,,,,,,,,,,,,,,,,,,,,,,,,
6.0074,PR0721_5_2,4.19,0.06,0.26,0.02,3.33,,0.10,,0.06,4.25,,,,,,,,,,,,,,,,,,,,,,,,
6.0075,PR0721_5_3,3.80,0.07,0.23,0.03,2.92,,0.05,,0.06,3.85,,,,,,,,,,,,,,,,,,,,,,,,
6.0076,PR0721J1_1,4.40,0.04,0.08,0.01,8.59,,0.05,,0.02,4.42,,,,,,,,,,,,,,,,,,,,,,,,
6.0077,PR0721J1_2,5.81,0.08,0.10,0.02,15.54,,0.06,,0.02,5.84,,,,,,,,,,,,,,,,,,,,,,,,
6.0078,PR0721J1_3,5.33,0.09,0.21,0.03,11.49,,0.06,,0.04,5.38,,,,,,,,,,,,,,,,,,,,,,,,
6.0079,PR0721J2_1,3.41,0.05,0.12,0.02,3.82,,0.05,,0.03,3.44,,,,,,,,,,,,,,,,,,,,,,,,
6.008,PR0721J2_2,3.42,0.04,0.10,0.01,5.61,,0.05,,0.03,3.44,,,,,,,,,,,,,,,,,,,,,,,,
6.0081,PR0721J2_3,3.52,0.03,0.07,0.01,5.54,,0.05,,0.02,3.54,,,,,,,,,,,,,,,,,,,,,,,,
6.0082,PR0721J2a_1,4.20,0.04,0.26,0.01,5.26,,0.11,,0.06,4.26,,,,,,,,,,,,,,,,,,,,,,,,
6.0083,PR0721J2a_3,3.46,0.05,0.14,0.02,4.36,,0.04,,0.04,3.49,,,,,,,,,,,,,,,,,,,,,,,,
6.0084,PR0719A,3.94,0.06,11.93,0.16,14.14,,0.04,,3.02,6.75,,,,,,,,,,,,,,,,,,,,,,,,
6.0085,PR0719B,6.55,0.10,11.70,0.18,4.49,,0.03,,1.79,9.30,,,,,,,,,,,,,,,,,,,,,,,,
6.0086,PR0902,13.26,0.14,0.07,0.04,1.23,,0.05,,0.01,13.27,,,,,,,,,,,,,,,,,,,,,,,,
6.0087,PR0902,12.33,0.10,0.00,0.03,2.21,,0.06,,0.00,12.33,,,,,,,,,,,,,,,,,,,,,,,,
6.0088,PR0902_2,12.50,0.11,0.48,0.04,1.65,,0.06,,0.04,12.61,,,,,,,,,,,,,,,,,,,,,,,,
6.0089,PR0902_2,15.09,0.21,0.29,0.07,1.96,,0.07,,0.02,15.16,,,,,,,,,,,,,,,,,,,,,,,,
6.009,PR0902_2_1,15.38,0.15,0.08,0.04,2.18,,0.04,,0.01,15.40,,,,,,,,,,,,,,,,,,,,,,,,
6.0091,PR0902_2_2,18.11,0.06,0.94,0.03,2.37,,0.06,,0.05,18.33,,,,,,,,,,,,,,,,,,,,,,,,
6.0092,PR0903 rubia_1,5.44,0.11,0.06,0.05,7.25,,0.03,,0.01,5.45,,,,,,,,,,,,,,,,,,,,,,,,
6.0093,PR0903 rubia_1,10.11,0.15,0.06,0.05,12.61,,0.04,,0.01,10.12,,,,,,,,,,,,,,,,,,,,,,,,
6.0094,PR0903 rubia,5.18,0.08,0.57,0.03,2.58,,0.05,,0.11,5.32,,,,,,,,,,,,,,,,,,,,,,,,
6.0095,PR0903 rubia,1.47,0.04,0.52,0.04,3.23,,0.04,,0.35,1.59,,,,,,,,,,,,,,,,,,,,,,,,
6.0096,PR0904 trinch,5.03,0.08,3.67,0.08,6.80,,0.03,,0.73,5.89,,,,,,,,,,,,,,,,,,,,,,,,
6.0097,PR0904 trinch,3.46,0.07,1.75,0.06,13.33,,0.03,,0.51,3.87,,,,,,,,,,,,,,,,,,,,,,,,
6.0098,PR0904 trinch_A,4.97,0.09,3.39,0.08,8.97,,0.06,,0.68,5.76,,,,,,,,,,,,,,,,,,,,,,,,
6.0099,PR0904 trinch_A,4.54,0.08,1.84,0.05,6.05,,0.03,,0.40,4.98,,,,,,,,,,,,,,,,,,,,,,,,
6.01,PR0904 trinch_2,5.43,0.09,0.84,0.04,6.71,,0.02,,0.15,5.63,,,,,,,,,,,,,,,,,,,,,,,,
6.0101,PR0904 trinch_2,5.53,0.08,0.74,0.04,6.46,,0.02,,0.13,5.71,,,,,,,,,,,,,,,,,,,,,,,,
6.0102,PR0904B,1.11,0.03,0.34,0.03,5.14,,0.01,,0.30,1.19,,,,,,,,,,,,,,,,,,,,,,,,
6.0103,PR0904B,1.30,0.04,0.01,0.03,2.22,,0.01,,0.01,1.31,,,,,,,,,,,,,,,,,,,,,,,,
6.0104,PR07MDO,1.24,0.03,11.31,0.13,0.76,,0.06,,9.09,3.90,,,,,,,,,,,,,,,,,,,,,,,,
6.0105,PR0907 pisolite_1,16.94,0.17,0.64,0.06,4.97,,0.20,,0.04,17.09,,,,,,,,,,,,,,,,,,,,,,,,
6.0106,PR0907 pisolite_2,18.28,0.12,1.39,0.05,6.31,,0.14,,0.08,18.61,,,,,,,,,,,,,,,,,,,,,,,,
6.0107,PR0925,11.87,0.08,2.98,0.06,2.08,,0.10,,0.25,12.57,,,,,,,,,,,,,,,,,,,,,,,,
6.0108,PR0925,0.06,0.01,0.18,0.02,0.02,,0.00,,2.96,0.10,,,,,,,,,,,,,,,,,,,,,,,,
6.0109,PR0925A,124.26,0.44,4.31,0.07,5.50,,0.51,,0.03,125.27,,,,,,,,,,,,,,,,,,,,,,,,
6.011,PR0925A,208.35,0.73,51.88,0.63,35.22,,1.14,,0.25,220.55,,,,,,,,,,,,,,,,,,,,,,,,
6.0111,PR0925A1,221.99,0.78,188.64,1.45,380.21,,1.14,,0.85,266.32,,,,,,,,,,,,,,,,,,,,,,,,
6.0112,PR0925A1,170.47,0.61,40.21,0.40,16.23,,0.82,,0.24,179.92,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0001,Cop061b,5.53,,0.13,,,,0.42,,0.02,5.56,,,,,,,,,,,,,,,,,,,,,,,,
7.0002,Cop061b,0.42,,0.06,,,,0.18,,0.14,0.44,,,,,,,,,,,,,,,,,,,,,,,,
7.0003,Cop061b,2.22,,0.10,,,,0.27,,0.04,2.24,,,,,,,,,,,,,,,,,,,,,,,,
7.0004,Cop0604a,0.56,,0.05,,,,0.03,,0.09,0.57,,,,,,,,,,,,,,,,,,,,,,,,
7.0005,Cop0604b,0.52,,0.12,,,,0.02,,0.23,0.55,,,,,,,,,,,,,,,,,,,,,,,,
7.0006,Cop0604c,1.31,,0.12,,,,0.09,,0.10,1.34,,,,,,,,,,,,,,,,,,,,,,,,
7.0007,Cop0604d,0.51,,0.04,,,,0.02,,0.07,0.52,,,,,,,,,,,,,,,,,,,,,,,,
7.0008,Cop0605a,39.19,,0.04,,,,0.31,,0.00,39.20,,,,,,,,,,,,,,,,,,,,,,,,
7.0009,Cop0605b,8.60,,0.06,,,,0.42,,0.01,8.61,,,,,,,,,,,,,,,,,,,,,,,,
7.001,Cop0605c,1.80,,0.04,,,,0.08,,0.02,1.81,,,,,,,,,,,,,,,,,,,,,,,,
7.0011,Cop0606a,11.54,,0.08,,,,0.70,,0.01,11.56,,,,,,,,,,,,,,,,,,,,,,,,
7.0012,Cop0606b,8.24,,0.07,,,,0.51,,0.01,8.25,,,,,,,,,,,,,,,,,,,,,,,,
7.0013,Cop0606c,14.14,,0.19,,,,0.83,,0.01,14.19,,,,,,,,,,,,,,,,,,,,,,,,
